Date,Xmin,Xpos,Ymin,Ypos,People Density,Car Density,Count,Temperature,Humidity,People_Count2
"January 14, 2020 at 08:12AM",0.624,0.624,0.624,0.624,0.39,0.39,2,22.41,80,0.39
"January 14, 2020 at 08:13AM",0.628,0.628,0.628,0.628,0.39,0.38,2,22.41,80,0.39
"January 14, 2020 at 08:14AM",0.619,0.619,0.619,0.619,0.39,0.38,2,22.41,80,0.39
"January 14, 2020 at 08:14AM",0.609,0.609,0.609,0.609,0.39,0.38,2,22.41,80,0.39
"January 14, 2020 at 08:14AM",0.609,0.609,0.609,0.609,0.39,0.38,2,22.41,80,0.39
"January 14, 2020 at 08:14AM",0.609,0.609,0.609,0.609,0.38,0.37,2,22.41,80,0.38
"January 14, 2020 at 08:15AM",0.6,0.6,0.6,0.6,0.38,0.37,2,22.41,80,0.38
"January 14, 2020 at 08:15AM",0.58,0.58,0.58,0.58,0.38,0.37,2,22.41,80,0.38
"January 14, 2020 at 08:15AM",0.566,0.566,0.566,0.566,0.38,0.37,2,22.41,80,0.38
"January 14, 2020 at 08:16AM",0.566,0.566,0.566,0.566,0.38,0.36,2,22.41,80,0.38
"January 14, 2020 at 08:16AM",0.566,0.566,0.566,0.566,0.37,0.36,2,22.41,80,0.37
"January 14, 2020 at 08:17AM",0.558,0.558,0.558,0.558,0.37,0.36,2,22.41,80,0.37
"January 14, 2020 at 08:17AM",0.552,0.552,0.552,0.552,0.37,0.35,2,22.41,80,0.37
"January 14, 2020 at 08:17AM",0.554,0.554,0.554,0.554,0.37,0.35,2,22.41,80,0.37
"January 14, 2020 at 08:18AM",0.554,0.554,0.554,0.554,0.36,0.35,3,22.41,80,0.36
"January 14, 2020 at 08:18AM",0.557,0.557,0.557,0.557,0.36,0.35,3,22.41,80,0.36
"January 14, 2020 at 08:18AM",0.566,0.566,0.566,0.566,0.36,0.35,4,22.41,80,0.36
"January 14, 2020 at 08:19AM",0.566,0.566,0.566,0.566,0.36,0.34,4,22.41,80,0.36
"January 14, 2020 at 08:19AM",0.566,0.566,0.566,0.566,0.36,0.34,2,22.41,80,0.36
"January 14, 2020 at 08:19AM",0.594,0.594,0.594,0.594,0.36,0.34,2,22.41,80,0.36
"January 14, 2020 at 08:19AM",0.616,0.616,0.616,0.616,0.36,0.34,2,22.41,80,0.36
"January 14, 2020 at 08:20AM",0.616,0.616,0.616,0.616,0.36,0.34,2,22.41,80,0.36
"January 18, 2020 at 03:30AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:30AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:31AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:31AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:31AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:32AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:32AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:32AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:33AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:33AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:34AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:34AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:34AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:35AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:35AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:35AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:36AM",-0.988,-0.988,-0.988,-0.988,0.36,0,2,20.63,88,0.36
"January 18, 2020 at 03:36AM",-0.988,-0.988,-0.988,-0.988,0.36,0,0,20.63,88,0.36
"January 18, 2020 at 03:36AM",-0.988,-0.988,-0.988,-0.988,0.36,0,1,20.63,88,0.36
"January 18, 2020 at 03:37AM",-0.988,-0.988,-0.988,-0.988,0.36,0,1,20.63,88,0.36
"January 18, 2020 at 03:37AM",-0.988,-0.988,-0.988,-0.988,0.36,0,1,20.63,88,0.36
"January 18, 2020 at 03:37AM",-0.988,-0.988,-0.988,-0.988,0.36,0,1,20.63,88,0.36
"January 18, 2020 at 03:38AM",-0.988,-0.988,-0.988,-0.988,0.36,0,1,20.63,88,0.36
"January 18, 2020 at 03:38AM",-0.988,-0.988,-0.988,-0.988,0.36,0,1,20.63,88,0.36
"January 18, 2020 at 03:38AM",-0.988,-0.988,-0.988,-0.988,0.36,0,0,20.63,88,0.36
"January 18, 2020 at 03:38AM",-0.988,-0.988,-0.988,-0.988,0.36,0,0,20.63,88,0.36
"January 18, 2020 at 03:39AM",-0.988,-0.988,-0.988,-0.988,0.36,0,36,20.63,88,0.36
"January 11, 2020 at 01:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 01:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 01:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 01:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 01:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 02:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 02:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 02:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 02:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 02:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 02:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 03:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 03:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 03:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 11, 2020 at 03:33AM",-0.777,-0.777,-0.777,-0.777,0.06,0,6,20.79,77,0.06
"January 14, 2020 at 04:06AM",0.632,0.632,0.632,0.632,0.46,0.45,7,22.41,80,0.46
"January 14, 2020 at 04:06AM",0.632,0.632,0.632,0.632,0.46,0.45,7,22.41,80,0.46
"January 14, 2020 at 04:06AM",0.632,0.632,0.632,0.632,0.46,0.45,7,22.41,80,0.46
"January 14, 2020 at 04:06AM",0.632,0.632,0.632,0.632,0.46,0.45,7.178571429,22.41,80,0.46
"January 14, 2020 at 04:06AM",0.632,0.632,0.632,0.632,0.46,0.45,7.357142857,22.41,80,0.46
"January 14, 2020 at 04:06AM",0.632,0.632,0.632,0.632,0.46,0.45,7.535714286,22.41,80,0.46
"January 14, 2020 at 05:06AM",0.632,0.632,0.632,0.632,0.46,0.45,7.714285714,22.41,80,0.46
"January 14, 2020 at 05:06AM",0.632,0.632,0.632,0.632,0.46,0.45,7.892857143,22.41,80,0.46
"January 14, 2020 at 05:06AM",0.632,0.632,0.632,0.632,0.46,0.45,8.071428571,22.41,80,0.46
"January 14, 2020 at 05:06AM",0.632,0.632,0.632,0.632,0.46,0.45,8.25,22.41,80,0.46
"January 14, 2020 at 05:06AM",0.632,0.632,0.632,0.632,0.46,0.45,8.428571429,22.41,80,0.46
"January 14, 2020 at 05:06AM",0.632,0.632,0.632,0.632,0.46,0.45,8.607142857,22.41,80,0.46
"January 14, 2020 at 05:06AM",0.632,0.632,0.632,0.632,0.46,0.45,8.785714286,22.41,80,0.46
"January 14, 2020 at 06:06AM",0.632,0.632,0.632,0.632,0.46,0.45,8.964285714,22.41,80,0.46
"January 14, 2020 at 06:06AM",0.632,0.632,0.632,0.632,0.46,0.45,9.142857143,22.41,80,0.46
"January 14, 2020 at 06:06AM",0.632,0.632,0.632,0.632,0.46,0.45,9.321428571,22.41,80,0.46
"January 14, 2020 at 01:06PM",0.632,0.632,0.632,0.632,0.46,0.45,9.5,22.41,80,0.46
"January 14, 2020 at 01:30PM",0.632,0.632,0.632,0.632,0.46,0.45,9.678571429,22.41,80,0.46
"January 14, 2020 at 01:50PM",0.632,0.632,0.632,0.632,0.46,0.45,9.857142857,22.41,80,0.46
"January 14, 2020 at 02:06PM",0.632,0.632,0.632,0.632,0.46,0.45,10.03571429,22.41,80,0.46
"January 14, 2020 at 02:30PM",0.632,0.632,0.632,0.632,0.46,0.45,10.21428571,22.41,80,0.46
"January 14, 2020 at 02:50PM",0.632,0.632,0.632,0.632,0.46,0.45,10.39285714,22.41,80,0.46
"February 3, 2020 at 09:07PM",-0.220102131,0.992091724,1,-0.463089339,0.37,0,4,21.06,92,0.37
"February 3, 2020 at 09:08PM",-0.220102131,0.992091724,1,-0.463089339,0.37,0,4,21.06,92,0.37
"February 3, 2020 at 09:08PM",-0.220102131,0.992091724,1,-0.463089339,0.37,0,4,21.06,92,0.37
"February 3, 2020 at 09:09PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:09PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:09PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:10PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:10PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:10PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:11PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:15PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:15PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:16PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:16PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:17PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:18PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:18PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:18PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:05PM",-0.220102131,0.992091724,1,-0.463089339,0.37,0,2,24,,0.37
"February 3, 2020 at 09:05PM",-0.220102131,0.992091724,1,-0.463089339,0.37,0,3,24,,0.37
"February 3, 2020 at 09:07PM",-0.220102131,0.992091724,1,-0.463089339,0.37,0,3,21.06,92,0.37
"February 3, 2020 at 09:08PM",-0.220102131,0.992091724,1,-0.463089339,0.37,0,4,21.06,92,0.37
"February 3, 2020 at 09:08PM",-0.220102131,0.992091724,1,-0.463089339,0.37,0,4,21.06,92,0.37
"February 3, 2020 at 09:09PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:09PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:09PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:10PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:10PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:10PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:11PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:15PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:15PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:16PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:16PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:17PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:18PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:18PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:18PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:18PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:19PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:19PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:19PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:20PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:29PM",-0.711797513,0.118700928,1,-0.091408239,0.5,0,2,21.06,92,0.5
"February 3, 2020 at 09:29PM",0,0,0,0,0,0,0,21.06,92,0
"February 3, 2020 at 09:30PM",-0.647443705,1,0.887347981,-0.344229829,0.12,0,1,21.06,92,0.12
"February 3, 2020 at 09:30PM",-0.591934744,1,0.829173788,-0.3054607,0.07,0,1,21.06,92,0.07
"February 3, 2020 at 09:30PM",-0.591934744,1,0.829173788,-0.3054607,0.07,0,1,21.06,92,0.07
"February 3, 2020 at 09:30PM",-0.591934744,1,0.829173788,-0.3054607,0.07,0,1,21.06,92,0.07
"February 3, 2020 at 09:30PM",-0.591934744,1,0.829173788,-0.3054607,0.07,0,1,21.06,92,0.07
"February 3, 2020 at 09:30PM",-0.591934744,1,0.829173788,-0.3054607,0.07,0,1,21.06,92,0.07
"February 3, 2020 at 09:31PM",0,0,0,0,0,0,0,21.06,92,0
"February 3, 2020 at 09:31PM",0,0,0,0,0,0,0,21.06,92,0
